title,year,topic,probability,custom_label
"4,6-Diphenylpyridines as Promising Novel Anti-Influenza Agents Targeting the PA-PB1 Protein-Protein Interaction: Structure-Activity Relationships Exploration with the Aid of Molecular Modeling",2016,30,2.208358256081372e-05,Topic 30
45° helical plates are a valid alternative to straight plates for treatment of proximal humeral shaft fractures,2025,66,0.0,Topic 66
"5-Arylisothiazol-3(2H)-one-1,(1)-(di)oxides: A new class of selective tumor-associated carbonic anhydrases (hCA IX and XII) inhibitors",2019,62,6.38792894256864e-10,Topic 62
"5′-Oxospiro-(fluorene-9,4′-imidazolidine)-2′-thione",2024,47,0.00022771214321352107,Topic 47
5G in Healthcare: From COVID-19 to Future Challenges,2022,-1,0.0,Outlier
"6-(Propan-2-yl)-3-methyl-morpholine-2,5-dione, a novel cyclodidepsipeptide with modulatory effect on rat thymocytes",2012,-1,0.0,Outlier
"6-[(4-Chlorophenyl)(1H-1,2,4-triazol-1-yl)methyl]-3- methyl-2(3H)-benzoxazolone",2016,-1,0.0,Outlier
"6-[1-acetyl-5-(4-methoxyphenyl)-4,5-dihydro-1h-pyrazole-3-yl]-2(3h)-benzoxazolonepyrazole-3-yl]-2(3h)-benzoxazolone",2018,41,5.2592409186720166e-05,Topic 41
6-methoxyflavonol glycosides with in vitro hepatoprotective activity from chenopodium bonus-henricus roots,2015,1,0.00491531887458837,Topic 1
60th years old woman operated in 1987 for a papillar cancer of the left part of the thyroid gland and with a recidiv of the cancer in the right part (2004) after period of 17 years with an infiltration only of the capsule of the gland,2006,-1,0.0,Outlier
8-(2-Methoxyphenyl)-6-methyl-2-(1-methyl-1H-benzo[d]imidazol-2-yl)quinoline,2024,41,0.0018755045579932235,Topic 41
"9,10-Dimethoxy-4-oxo-1-phenyl-1,3,4,6,7,11b-hexahydro-[1,4]thiazino[3,4-a]isoquinoline-1-carboxylic Acid",2025,41,0.0,Topic 41
"A ""weird"" Mitochondrial Fatty Acid Oxidation as a Metabolic ""secret"" of Cancer",2022,51,6.140915613049417e-29,Topic 51
A “Yellow Submarine” in dermoscopy,2018,14,0.003378158874827167,Topic 14
A 15-year consolidated overview of data in over 6000 patients from the Transthyretin Amyloidosis Outcomes Survey (THAOS),2023,-1,0.0,Outlier
A 17-Years Follow-up of Occupational Radiation Doses in an Interventional Cardiology Department,2024,-1,0.0,Outlier
A 36-year-old woman with a parathyroid cyst,2024,-1,0.0,Outlier
"A 3D-Simulation Study of the Deformation, Tension, and Stress of 3D-Printed and Conventional Denture Base Materials after Immersion in Artificial Saliva; [Исследование 3D-моделирования деформации, растяжения и напряжения 3D-печатных и обычных материалов основы зубного протеза после погружения в искусственную слюну]",2024,4,0.00017070138984001982,Topic 4
A 40-year follow-up of a patient with multiple paragangliomas and a SDHD mutation,2019,-1,0.0,Outlier
"A 5-year multicentre randomized controlled trial comparing personalized, frozen and fresh blastocyst transfer in IVF",2020,9,0.003154475356714691,Topic 9
A 53-YEAR-OLD FEMALE WITH STRESS-INDUCED CARDIOMYOPATHY: A CLINICAL CASE,2024,2,2.993979666731009e-50,Topic 2
"A 6-month, open-label clinical trial of pancrelipase delayed-release capsules (Creon) in patients with exocrine pancreatic insufficiency due to chronic pancreatitis or pancreatic surgery",2011,22,0.00031277265292162774,Topic 22
A 78-Year-Old Man with Elastofibroma Dorsi Presenting as a Left Subscapular Mass,2024,14,0.0032612764522237797,Topic 14
A Behavioral Research Approach to Sustainable Household Consumption in Three Bulgarian Cities,2022,-1,0.0,Outlier
A benchmarking project on the quality of previous guidelines about the management of malignant pleural effusion from the European Society of Thoracic Surgeons (ESTS) Pleural Diseases Working Group,2017,55,2.8843015956590165e-22,Topic 55
A Better Approach of Assessing Lalerality by Using Combined Foot and Eye Dominance Scale in Mentally Healthy Subjects,2023,35,0.0,Topic 35
A bilateral four-headed brachialis muscle with a variant innervation: a cadaveric report with possible clinical implications,2024,-1,0.0,Outlier
A biostimulant obtained from the seaweed ascophyllum nodosum protects arabidopsis thaliana from severe oxidative stress,2020,0,8.424901401314784e-07,Topic 0
A biphenyl inhibitor of eIF4E targeting an internal binding site enables the design of cell-permeable PROTAC-degraders,2021,42,8.829172971056746e-05,Topic 42
A blind spot on the global mental health map: a scoping review of 25 years' development of mental health care for people with severe mental illnesses in central and eastern Europe,2017,15,0.0,Topic 15
A BRIEF REVIEW OF ANALYTICAL METHODS FOR THE ESTIMATION OF TTR KINETIC STABILIZERS IN PHARMACEUTICAL FORMULATIONS AND BIOLOGICAL MATRICES,2022,-1,0.0,Outlier
A Case Control Study Evaluating the Relationship between Vitamin K2 Serum Level and Periodontitis,2023,4,0.0031315388043667808,Topic 4
A case for adoption of continuous albendazole treatment regimen for human echinococcal infections,2020,80,0.0,Topic 80
A case of “inflammatory linear verrucous epidermal nevus” (ILVEN) treated with CO2 laser ablation,2017,-1,0.0,Outlier
A Case of a Giant Epiphrenic Esophageal Diverticulum,2020,-1,0.0,Outlier
A Case of a Young Woman with Cervico-Mediastinal Malignant Goiter,2020,-1,0.0,Outlier
A CASE OF ACUTE INFECTIVE ENDOCARDITIS AND SEPTIC SHOCK,2023,3,1.1105516831567421e-05,Topic 3
A case of alopecia areata in a patient with turner syndrome,2017,13,0.006118163035344028,Topic 13
A case of Covid-19-associated invasive pulmonary mucormycosis in a pediatric patient with a newly diagnosed diabetes,2022,50,0.0,Topic 50
A case of fatal bleeding from acute varicose leg ulcer: Clinico-pathological characteristics,2011,2,0.0012099907884177941,Topic 2
A case of human papillomavirus infection and vulvar cancer in a young patient – “hit and run” theory,2021,20,0.0,Topic 20
A CASE OF LATE POSTOPERATIVE LIMA/LAD AREA THROMBOSIS AND EXTENSIVE ANTERIOR ST↑ MI,2024,2,0.0,Topic 2
A case of lupus nephritis aggravated by diabetic nephropathy with a rapid decline in kidney function,2021,-1,0.0,Outlier
A case of mody 2 - Associated hyperglycemia diagnosed as gestational diabetes,2022,-1,0.0,Outlier
"A case of non-palpable, multifocal, heterogeneous left breast carcinoma with mammographic presentation of clustered multiple microcalcifications; [Un cas de carcinome du sein gauche hétérogène multifocal non palpable avec présentation mammographique de microcalcifications multiples agrégées]",2020,-1,0.0,Outlier
A Case of Primary Multifocal Cutaneous Mucormycosis in a Pediatric Patient with Newly Diagnosed Acute Lymphoblastic Leukemia,2023,50,0.0,Topic 50
A Case of Progressive Multifocal Leucoencephalopathy and Cerebral Toxoplasmosis in an HIV-Infected Patient,2023,-1,0.0,Outlier
A CASE OF PULMONARY ENDARTERECTOMY IN CHRONIC THROMBOEMBOLIC PULMONARY HYPERTENSION – A HAPPILY COMPLETED ODYSSEY,2024,2,0.00038351904743265505,Topic 2
A CASE OF SAPHO SYNDROME TREATED WITH ZOLENDRONIC ACID AND HYDROXYCHLOROQUINE,2023,-1,0.0,Outlier
A case of secondary abdominal pregnancy after in vitro fertilization pre-embryo transfer (IVF-ET),2015,-1,0.0,Outlier
A Case of Subconjunctival Dirofilariasis in Bulgaria,2018,5,4.282809635802966e-15,Topic 5
A case of successful interventional treatment in acute basilar artery occlusion,2016,2,0.00015593908700607545,Topic 2
A case of total pacemaker extrusion,2009,2,5.890956478969546e-05,Topic 2
A case of tracheal stenosis as an isolated form of immunoproliferative hyper-igg4 disease in a 17-year-old girl,2021,-1,0.0,Outlier
A case of transitional cell bladder carcinoma prolapsed from the external urethral orifice: a 6-year follow-up after percutaneous suprapubic bladder.,2007,-1,0.0,Outlier
A case of unicornuate uterus with atypical located hyperstimulated ovary after in vitro fertilization pre-embryo transfer (IVF-ET),2015,-1,0.0,Outlier
A CASE REPORT OF SEPSIS ASSOCIATED WITH ESCHERICHIA COLI 0157:H7,2024,6,0.00397122611752283,Topic 6
A Case Showing a New Diagnostic Aspect of the Application of Radiofrequency Echographic Multi-Spectrometry (REMS),2023,8,0.0035640486164305483,Topic 8
A CASE STUDY ON TEACHING ENGLISH AS A FOREIGN LANGUAGE THROUGH MOVIES TO STUDENTS OF HIGHER EDUCATION,2023,10,0.0034288383371449986,Topic 10
A category approach to predicting the hemolytic effects of ethylene glycol alkyl ethers in repeated-dose toxicity,2012,78,0.0,Topic 78
"A Cautionary Tale of Hypertrophic Cardiomyopathy—From “Benign” Left Ventricular Hypertrophy to Stroke, Atrial Fibrillation, and Molecular Genetic Diagnostics: A Case Report and Review of Literature",2024,2,1.0812136863700426e-20,Topic 2
A cell type-specific view on the translation of mRNAs from ROS-responsive genes upon paraquat treatment of Arabidopsis thaliana leaves,2015,0,0.002767356215416141,Topic 0
A central role for thiols in plant tolerance to abiotic stress,2013,0,2.433658929076375e-10,Topic 0
A challenging case of using manta ray skin flaps in a severe post-traumatic first web space contracture,2021,-1,0.0,Outlier
A checklist of macroparasites of liza haematocheila (Temminck & Schlegel) (teleostei: Mugilidae),2008,0,8.087999670348207e-14,Topic 0
"A chromosomal analysis of Nepa cinerea Linnaeus, 1758 and Ranatra linearis (Linnaeus, 1758) (Heteroptera, Nepidae)",2017,0,3.780901489137602e-23,Topic 0
"A chromosome scale assembly of the tarnished plant bug, Lygus lineolaris (Palisot de Beauvois), genome",2023,0,4.4432285943597824e-05,Topic 0
A CLINICAL CASE OF A 10-M0NTH-0LD CHILD WITH SEVERE COVID-19 WITH MULTISYSTEM INFLAMMATORY SYNDROME ENDED FATALLY,2024,3,0.002977466471945889,Topic 3
"A CLINICAL CASE OF A PATIENT AFTER COVID 19 INFECTION AND A THROMBUS IN THE RIGHT ATRIUM, DEEP PHLEBOTHROMBOSIS, AND PULMONARY EMBOLISM",2022,3,0.001994461503685017,Topic 3
A CLINICAL CASE OF A PATIENT WITH MUCOCUTANEOUS AND MUSCULOSKELETAL MANIFESTATIONS AFTER COVID-19 VACCINATION,2022,13,2.5879163375761996e-16,Topic 13
A Clinical Case of Patient Carrying Rare Pathological PSEN1 Gene Mutation (L424V) Demonstrates the Phenotypic Heterogenity of Early Onset Familial AD,2019,12,0.0022472267213099937,Topic 12
A Clinical Case of Pityriasis Lichenoides Chronica Presenting with Palpable Purpura after Streptococcal Infection; [Клинический случай хронического лихеноидного лишая с пальпируемой пурпурой после стрептококковой инфекции],2024,13,0.00015861356544870066,Topic 13
A CLINICAL CASE OF PRIMARY AGGRESSIVE B-CELLULAR LYMPHOMA IN THYROID GLAND,2023,-1,0.0,Outlier
A CLINICAL CASE OF STEMI IN A 19-YEAR-OLD WOMAN WITH HYPERCHOLESTEROLEMIA,2024,72,0.0,Topic 72
"A CLINICAL CASE OF STEMI IN A 20-YEAR-OLD WOMAN, DIFFERENTIAL DIAGNOSIS – MYOCARDITIS, MINOCA",2024,2,0.0,Topic 2
A Clinical Case of Tonsillar Lymphangiomatous Polyp,2023,14,0.003294714488973677,Topic 14
A clinical prediction model for estimating the risk of developing uveitis in patients with juvenile idiopathic arthritis,2021,63,1.1984580985746063e-10,Topic 63
A clinical training model for students: Intensive treatment of stuttering using prolonged speech,2018,-1,0.0,Outlier
A co2 laser with continuous and pulse-periodical modes of operation for surgical application in medicine,2006,4,0.003165012199247686,Topic 4
A coherent transcriptional feed-forward motif model for mediating auxin-sensitive PIN3 expression during lateral root development,2015,0,5.201146507027813e-05,Topic 0
A cold-responsive wheat (Triticum aestivum L.) gene wcor14 identified in a winter-hardy cultivar 'Mironovska 808',2000,0,1.0860398680453521e-13,Topic 0
A Collision between Cavernous-Capillary Hemangioma with Stromal Luteinization and Serous Cystadenoma; [Коллизия кавернозно-капиллярной гемангиомы со стромальной лютеинизацией и серозной цистаденомой],2020,-1,0.0,Outlier
A Colorectal Cancer 3D Bioprinting Workflow as a Platform for Disease Modeling and Chemotherapeutic Screening,2021,-1,0.0,Outlier
A common haplotype of the annexin A5 (ANXA5) gene promoter is associated with recurrent pregnancy loss,2007,48,0.004983746231531394,Topic 48
A compact sunflower line produced after cross Helianthus annuus x Verbesina encelioides,2013,0,1.1389968472769381e-05,Topic 0
"A comparative analysis of dendrometric, macromorphological, and micromorphological characteristics of Pistacia atlantica subsp. atlantica and Pistacia terebinthus in the middle Atlas region of Morocco",2024,0,0.020483871298877625,Topic 0
A comparative analysis of genomic and phenomic predictions of growth-related traits in 3-way coffee hybrids,2022,0,9.990553046855582e-08,Topic 0
A Comparative Analysis of Molecular Biological Methods for the Detection of SARS-CoV-2 and Testing the In Vitro Infectivity of the Virus,2024,3,3.9158012582432444e-23,Topic 3
"A Comparative Analysis of Post-Retraction Changes in Gingival Height after Conventional and Surgical Gingival Displacement: Rotary Curettage, Diode and Er:YAG Laser Troughing",2023,4,0.0013065990428938689,Topic 4
A comparative analysis of pricing and reimbursement systems between Italy and Bulgaria,2024,37,0.0,Topic 37
"A Comparative Analysis of Serum Lipids in Patients with Chronic Hepatitis C, Nonalcoholic Fatty Liver Disease and Healthy Controls",2017,45,0.0,Topic 45
A Comparative Analysis of the Sexual Culture and Behavior of Nursing Students from the Medical University of Plovdiv in the Period 2009-2019; [Сравнительный анализ сексуальной культуры и поведения студентов по специальности „Сестринское дело“ Медицинского университета в Пловдиве в период 2009-2019 гг.],2023,-1,0.0,Outlier
A Comparative Clinical Study of Er:YAG Laser and Hand Instruments in the Treatment of Moderate Chronic Periodontitis,2021,4,8.307342970861779e-05,Topic 4
A Comparative Evaluation of Leaching Reagents of Platinum Group Metals from Spent Catalytic Converters Using Microwave Heating,2025,21,0.0,Topic 21
A comparative immunohistochemical and quantitative study of the epiligament of the medial collateral and anterior cruciate ligament in rat knee; [Estudio inmunohistoquímico y cuantitativo del epiligamento del ligamento colateral medial y cruzado anterior en rodilla de rata],2021,-1,0.0,Outlier
"A Comparative In Vitro Study Evaluating the Marginal Adaptation of Zirconium Computer-Aided Design/Computer-Aided Manufacture and Press-ceramic Veneers; [Сравнительное исследование in vitro, оценивающее краевую адаптацию циркониевых виниров, изготовленных с помощью компьютерного проектирования / компьютерного производства и пресс-керамики]",2020,4,0.0001588821453166307,Topic 4
A comparative morphometric study of the myocardium during the postnatal development in normotensive and spontaneously hypertensive rats,2018,-1,0.0,Outlier
A comparative pharmacognostic study and assesment of antioxidant capacity of three species from plantago genus,2018,1,0.0,Topic 1
A Comparative Quantitative Analysis of the Postnatal Changes in the Myocardium of the Left and Right Ventricles in Rats,2018,-1,0.0,Outlier
A Comparative Study between Children and Adults with Bacterial Neuroinfections; [Сравнительное исследование детей и взрослых с бактериальными нейроинфекциями],2022,-1,0.0,Outlier
A Comparative Study of the Antihypertensive and Cardioprotective Potentials of Hot and Cold Aqueous Extracts of Hibiscus sabdariffa L. in Relation to Their Metabolic Profiles,2022,1,7.94861291196767e-17,Topic 1
"A comparative study of the epiligament of the medial collateral and anterior cruciate ligaments in the human knee: Immunohistochemical analysis of CD 34, α-smooth muscle actin and vascular endothelial growth factor in relation to epiligament theory",2022,-1,0.0,Outlier
"A comparative study of verbal fluency in patients with paranoid schizophrenia, first grade relatives and healthy controls",2019,35,1.000931170514217e-34,Topic 35
A comparative study on diabetes self-management in pregnant women with gestational diabetes and pre-existing diabetes,2018,-1,0.0,Outlier
"A comparative study on plant morphology, gas exchange parameters, and antioxidant response of Ocimum basilicum L. And Origanum vulgare L. Grown on industrially polluted soil",2014,-1,0.0,Outlier
"A comparative study on quality parameters of pumpkin, melon and sunflower oils during thermal treatment",2019,1,1.979895010145716e-06,Topic 1
A Comparative Study on UHPLC-HRMS Profiles and Biological Activities of Inula sarana Different Extracts and Its Beta-Cyclodextrin Complex: Effective Insights for Novel Applications,2023,1,0.0,Topic 1
A comparative transcriptomics and eQTL approach identifies SlWD40 as a tomato fruit ripening regulator,2022,0,0.00023896255585492633,Topic 0
A Comparison between Bulgarian Tanacetum parthenium Essential Oil from Two Different Locations,2024,1,1.1803574685106214e-07,Topic 1
A comparison of cell wall disruption techniques for the isolation of intracellular metabolites from Pleurotus and Lepista sp.,2006,40,1.802384282360939e-05,Topic 40
A Comparison of Chaotic Electromagnetic Field Optimization Algorithms,2024,-1,0.0,Outlier
A Comparison of Different Methods for Fissure Caries Detection,2016,4,1.1709971257688699e-11,Topic 4
