Year,Topic,Count,Custom_Label
2015,60,2,Topic 60
2015,80,1,Topic 80
2015,19,4,Topic 19
2015,3,2,Topic 3
2015,32,4,Topic 32
2015,70,3,Topic 70
2015,59,1,Topic 59
2015,23,6,Topic 23
2015,42,5,Topic 42
2015,22,1,Topic 22
2015,66,2,Topic 66
2015,86,1,Topic 86
2015,38,5,Topic 38
2015,24,5,Topic 24
2015,8,8,Topic 8
2015,13,3,Topic 13
2015,11,3,Topic 11
2015,10,4,Topic 10
2015,85,1,Topic 85
2015,28,2,Topic 28
2015,78,1,Topic 78
2015,46,4,Topic 46
2015,53,2,Topic 53
2015,34,6,Topic 34
2015,16,2,Topic 16
2015,27,2,Topic 27
2015,7,6,Topic 7
2015,71,2,Topic 71
2015,68,5,Topic 68
2015,21,2,Topic 21
2015,69,2,Topic 69
2015,20,3,Topic 20
2015,49,3,Topic 49
2015,63,1,Topic 63
2015,12,6,Topic 12
2015,45,2,Topic 45
2015,36,1,Topic 36
2015,62,2,Topic 62
2015,65,2,Topic 65
2015,79,2,Topic 79
2015,74,3,Topic 74
2015,56,1,Topic 56
2015,72,2,Topic 72
2015,58,1,Topic 58
2015,55,1,Topic 55
2015,40,1,Topic 40
2014,41,3,Topic 41
2014,86,2,Topic 86
2014,44,2,Topic 44
2014,7,11,Topic 7
2014,4,12,Topic 4
2014,33,6,Topic 33
2014,69,3,Topic 69
2014,42,5,Topic 42
2014,56,2,Topic 56
2014,0,40,Topic 0
2014,34,5,Topic 34
2014,27,4,Topic 27
2014,5,17,Topic 5
2014,61,3,Topic 61
2014,18,10,Topic 18
2014,1,13,Topic 1
2014,30,2,Topic 30
2014,16,9,Topic 16
2014,9,8,Topic 9
2014,63,2,Topic 63
2014,29,1,Topic 29
2014,15,6,Topic 15
2014,8,6,Topic 8
2014,32,5,Topic 32
2014,51,1,Topic 51
2014,25,4,Topic 25
2014,45,2,Topic 45
2014,21,6,Topic 21
2014,12,7,Topic 12
2014,13,1,Topic 13
2014,59,2,Topic 59
2014,38,4,Topic 38
2014,11,6,Topic 11
2014,23,5,Topic 23
2014,71,1,Topic 71
2014,73,1,Topic 73
2014,72,1,Topic 72
2014,85,1,Topic 85
2014,14,2,Topic 14
2014,2,4,Topic 2
2014,40,2,Topic 40
2014,20,3,Topic 20
2014,37,2,Topic 37
2014,35,1,Topic 35
2014,49,1,Topic 49
2014,6,6,Topic 6
2014,52,2,Topic 52
2014,83,1,Topic 83
2014,74,1,Topic 74
2014,62,2,Topic 62
2014,36,2,Topic 36
2014,47,2,Topic 47
2014,3,3,Topic 3
2014,67,2,Topic 67
2014,60,2,Topic 60
2014,28,2,Topic 28
2014,53,2,Topic 53
2014,46,1,Topic 46
2014,17,1,Topic 17
2014,76,1,Topic 76
2014,31,2,Topic 31
2014,75,3,Topic 75
2014,77,1,Topic 77
2014,48,3,Topic 48
2014,24,3,Topic 24
2014,10,1,Topic 10
2014,54,1,Topic 54
2014,78,1,Topic 78
2014,19,4,Topic 19
2014,82,3,Topic 82
2014,55,1,Topic 55
2014,22,1,Topic 22
2011,62,1,Topic 62
2011,12,5,Topic 12
2011,22,1,Topic 22
2011,2,6,Topic 2
2011,29,5,Topic 29
2011,5,9,Topic 5
2011,15,6,Topic 15
2011,0,24,Topic 0
2011,33,2,Topic 33
2011,37,3,Topic 37
2011,1,14,Topic 1
2011,19,5,Topic 19
2011,42,5,Topic 42
2011,31,5,Topic 31
2011,60,2,Topic 60
2011,18,2,Topic 18
2011,40,4,Topic 40
2011,66,1,Topic 66
2011,82,1,Topic 82
2011,36,5,Topic 36
2011,30,3,Topic 30
2011,34,2,Topic 34
2011,76,1,Topic 76
2011,16,3,Topic 16
2011,11,2,Topic 11
2011,58,4,Topic 58
2011,78,1,Topic 78
2011,6,3,Topic 6
2011,53,2,Topic 53
2011,27,3,Topic 27
2011,59,1,Topic 59
2011,72,1,Topic 72
2011,80,1,Topic 80
2011,25,3,Topic 25
2011,13,2,Topic 13
2011,52,4,Topic 52
2011,55,1,Topic 55
2011,75,2,Topic 75
2011,32,1,Topic 32
2011,21,1,Topic 21
2011,49,1,Topic 49
2011,73,2,Topic 73
2011,69,2,Topic 69
2011,61,1,Topic 61
2011,4,3,Topic 4
2011,48,1,Topic 48
2011,38,1,Topic 38
2011,87,1,Topic 87
2011,14,1,Topic 14
2011,74,1,Topic 74
2011,44,1,Topic 44
2011,10,1,Topic 10
2011,41,1,Topic 41
2011,35,1,Topic 35
2011,56,1,Topic 56
2011,3,1,Topic 3
2013,71,2,Topic 71
2013,0,35,Topic 0
2013,44,3,Topic 44
2013,1,14,Topic 1
2013,29,6,Topic 29
2013,12,9,Topic 12
2013,78,2,Topic 78
2013,13,3,Topic 13
2013,9,6,Topic 9
2013,6,5,Topic 6
2013,27,2,Topic 27
2013,16,6,Topic 16
2013,25,3,Topic 25
2013,38,2,Topic 38
2013,2,8,Topic 2
2013,72,1,Topic 72
2013,41,3,Topic 41
2013,19,4,Topic 19
2013,36,3,Topic 36
2013,43,2,Topic 43
2013,31,1,Topic 31
2013,5,18,Topic 5
2013,66,1,Topic 66
2013,54,2,Topic 54
2013,23,3,Topic 23
2013,8,2,Topic 8
2013,47,1,Topic 47
2013,28,2,Topic 28
2013,86,2,Topic 86
2013,4,6,Topic 4
2013,18,2,Topic 18
2013,17,2,Topic 17
2013,24,3,Topic 24
2013,15,3,Topic 15
2013,33,4,Topic 33
2013,76,1,Topic 76
2013,60,1,Topic 60
2013,7,5,Topic 7
2013,73,1,Topic 73
2013,40,3,Topic 40
2013,81,4,Topic 81
2013,21,1,Topic 21
2013,63,1,Topic 63
2013,48,2,Topic 48
2013,30,1,Topic 30
2013,50,1,Topic 50
2013,35,1,Topic 35
2013,52,2,Topic 52
2013,53,2,Topic 53
2013,11,2,Topic 11
2013,46,1,Topic 46
2013,69,2,Topic 69
2013,32,1,Topic 32
2013,14,1,Topic 14
2013,84,1,Topic 84
2013,34,2,Topic 34
2013,22,1,Topic 22
2013,51,1,Topic 51
2013,75,1,Topic 75
2013,74,1,Topic 74
2013,58,1,Topic 58
2013,3,1,Topic 3
2013,83,1,Topic 83
2013,56,1,Topic 56
2013,82,1,Topic 82
2013,61,1,Topic 61
2018,55,5,Topic 55
2018,22,3,Topic 22
2018,71,3,Topic 71
2018,41,1,Topic 41
2018,14,36,Topic 14
2018,5,17,Topic 5
2018,1,18,Topic 1
2018,6,15,Topic 6
2018,8,15,Topic 8
2018,78,5,Topic 78
2018,21,2,Topic 21
2018,13,12,Topic 13
2018,7,19,Topic 7
2018,2,19,Topic 2
2018,29,5,Topic 29
2018,44,9,Topic 44
2018,28,3,Topic 28
2018,0,41,Topic 0
2018,39,7,Topic 39
2018,10,10,Topic 10
2018,11,5,Topic 11
2018,72,4,Topic 72
2018,65,4,Topic 65
2018,35,2,Topic 35
