title,year,topic,probability,custom_label
Application of a Body Shape Index as an Anthropometric Predictor of Cardiometabolic Risks in Children and Adolescents (Systematic Review),2024,21,0.0004312351222034286,Topic 21
TOWARDS ACTIVATION OF THE EMPATHIC RESOURCES DURING TERMINAL CARE - AN ART AND/OR A NECESSITY?,2021,15,0.0,Topic 15
"Mesoporous silica nanoparticles: Synthesis, functionalization, drug loading and release - A review",2021,9,1.4586948302345724e-41,Topic 9
WEST NILE VIRUS INFECTION WITH NEUROLOGICAL DISORDERS: A CASE REPORT AND A BRIEF REVIEW OF THE SITUATION IN BULGARIA,2019,-1,0.0,Outlier
"Detection of Ureteral Stump Transitional Cell Carcinoma, Presenting as Bone Metastases from Unknown Primary by 18F-FDG PET/CT: A Case Report with Review of Literature",2021,49,0.0,Topic 49
LOWER LIP CANCER - A CASE REPORT,2020,-1,0.0,Outlier
EPIDERMOLYSIS BULLOSA SIMPLEX DOWLING-MEARA - A CASE REPORT,2008,4,0.0,Topic 4
A cold-responsive wheat (Triticum aestivum L.) gene wcor14 identified in a winter-hardy cultivar 'Mironovska 808',2000,23,0.003292040895913625,Topic 23
Strangulation ileus in early pregnancy,2023,5,0.0013326499988868374,Topic 5
MMP12-82 A>G Promoter Polymorphism in Bronchial Asthma in a Population of Central Bulgaria,2018,-1,0.0,Outlier
A Semi-Micro Extraction Spectrophotometric Determination of Iron Using 4-Nitrocatechol and Xylometazoline Hydrochloride,2025,-1,0.0,Outlier
Removal of a Horizontally Displaced Dental Implant below the Mandibular Canal,2023,0,3.4818083307279874e-08,Topic 0
European women in neurosurgery: II ? Historical characters and living legends,2021,-1,0.0,Outlier
MOLECULAR TYPING OF LACTOBACILLI ISOLATED FROM DRY SAUSAGE LUKANKA: COMPARISON OF WHOLE CELL PROTEIN (WCP) VERSUS DNA-BASED METHODS,2010,18,0.0,Topic 18
DETECTION AND PRELIMINARY CHARACTERIZATION OF A BLIS PRODUCED BY ENTEROCOCCUS STRAIN ISOLATED FROM CHEESE STARTER,2009,-1,0.0,Outlier
"Molecular typing by genus-specific PCR and RAPD profiling of diverse Lactobacillus delbrueckii strains isolated from cow, sheep and buffalo yoghurts",2008,18,3.9673429666006e-38,Topic 18
Less than additive interaction between cigarette smoke and chromium(VI) in inducing clastogenic damage in rodents,2000,-1,0.0,Outlier
Synergistic inhibition of Influenza A virus replication by a plant polyphenol-rich extract and ε-aminocaproic acid in vitro and in vivo,2010,31,0.0,Topic 31
SIXTH GENERATION ADAPTIVE APEX LOCATOR,2009,0,0.0,Topic 0
Alkaloid production in diploid and autotetraploid plants of Datura stramonium,2002,1,0.0006836588818502285,Topic 1
Application of Amino Acids for High-Dosage Measurements with Electron Paramagnetic Resonance Spectroscopy,2023,-1,0.0,Outlier
Effects of Different Metals on Photosynthesis: Cadmium and Zinc Affect Chlorophyll Fluorescence in Durum Wheat,2018,77,0.0,Topic 77
Extra-anatomical Bypass in a Case of Recoarctation and Previous Cardiac Surgery,2024,8,0.0,Topic 8
Antimicrobial and Ecological Potential of Chlorellaceae and Scenedesmaceae with a Focus on Wastewater Treatment and Industry,2024,-1,0.0,Outlier
GENETIC ANALYSIS OF QUANTITATIVE TRAITS OF GRASS PEA (Lathyrus sativus L.) GENOTYPES,2019,29,0.0,Topic 29
Checklist of the larger basidiomycetes in Bulgaria,2010,7,0.0025794422286141445,Topic 7
Subcritical Extracts from Major Species of Oil-Bearing Roses-A Comparative Chemical Profiling,2021,1,0.0034938491010958,Topic 1
A phylogenetic and taxonomic revision of sequestrate Russulaceae in Mediterranean and temperate Europe,2019,7,0.0016280053817131924,Topic 7
DNA metabarcoding data from faecal samples of the lesser (Myotis blythii) and the greater (Myotis myotis) mouse-eared bats from Bulgaria,2023,-1,0.0,Outlier
Changes to women's childbirth plans during the COVID-19 pandemic and posttraumatic stress symptoms: a cross-national study,2024,61,0.004190207595732412,Topic 61
New members of a cold-responsive group-3 Lea/Rab-related Cor gene family from common wheat (Triticum aestivum L.),2000,23,0.0033806362904386413,Topic 23
BULGARIAN PHARMACISTS' ATTITUDES AND BARRIERS TOWARDS PHARMACEUTICAL CARE PROVISION FOR INCREASING IMMUNITY IN CHILDREN,2023,13,0.005213455975262602,Topic 13
"Locus of control, negative live events and psychopathological symptoms in collectivist adolescents",2020,46,0.007956869693173873,Topic 46
"Gluten Unraveled: Latest Insights on Terminology, Diagnosis, Pathophysiology, Dietary Strategies, and Intestinal Microbiota Modulations-A Decade in Review",2024,-1,0.0,Outlier
Biogenic nanosized iron oxides obtained from cultivation of iron bacteria from the genus Leptothrix,2016,-1,0.0,Outlier
CAD/CAM FIBER-REINFORCED COMPOSITE SPLINT FOR IMMOBILIZATION OF PERIODONTALLY COMPROMISED TEETH,2022,0,3.199334894753677e-20,Topic 0
Utility of Single-Cell Genomics in Diagnostic Evaluation of Prostate Cancer,2018,53,0.0030597273494878006,Topic 53
The applicability of animal health surveillance systems for post-market monitoring of potential adverse effects of genetically modified (GM) feed,2018,10,0.003570413071130993,Topic 10
Frequency of family meals and food consumption in families at high risk of type 2 diabetes: the Feel4Diabetes-study,2022,21,1.3379628384626721e-25,Topic 21
Amelanotic subungual melanoma and chilblains,2023,-1,0.0,Outlier
A Randomized Comparison of Delivered Energy in Cardioversion of Atrial Fibrillation: Biphasic Truncated Exponential Versus Pulsed Biphasic Waveforms,2021,8,0.003312639993033814,Topic 8
FLOW-INJECTION SYSTEM WITH SITE-SPECIFIC IMMOBILIZATION OF ACETYLCHOLINESTERASE BIOSENSOR FOR AMPEROMETRIC DETECTION OF ORGANOPHOSPHATE PESTICIDES,2012,-1,0.0,Outlier
"Concise Synthesis of Pseudane IX, Its N-Oxide, and Novel Carboxamide Analogs with Antibacterial Activity",2024,72,7.900460113284387e-37,Topic 72
Silane Heat Treatment Could Eliminate the Hydrofluoric Acid Etching of Lithium Disilicate Overlays: A Four-Year Follow-Up,2021,0,0.0,Topic 0
MICROSATELLITE LINKAGE MAP BASED ON F2 POPULATION FROM BULGARIAN GRAPEVINE CULTIVAR STORGOZIA,2009,29,1.847471110640695e-16,Topic 29
Long-acting recombinant coagulation factor IX albumin fusion protein (rIX-FP) in hemophilia B: results of a phase 3 trial,2016,69,0.0,Topic 69
"The use of continuous glucose monitoring in people living with obesity, intermediate hyperglycemia or type 2 diabetes",2025,59,6.44040433180066e-07,Topic 59
Estimating the attributable fraction of cirrhosis and hepatocellular carcinoma due to hepatitis B and C,2021,42,0.0,Topic 42
"Tepidibacillus decaturensis sp nov., a microaerophilic, moderately thermophilic iron-reducing bacterium isolated from 1.7 km depth groundwater",2016,-1,0.0,Outlier
The diagnostic value of ultrasound in the assessment of soft tissue masses in rheumatology practice - a case series of 4 patients,2024,-1,0.0,Outlier
SPECIES AFFILIATION OF DAIRY LACTOBACILLI WITH ANGIOTENSIN CONVERTING ENZYME INHIBITORY ACTIVITY,2009,18,0.0,Topic 18
VITAMIN D EFFECTS ON LIPID PROFILE AND URIC ACID LEVELS IN THE EXPERIMENTAL MODEL OF METABOLIC DISORDERS IN FRUCTOSE FED WISTAR RATS,2019,-1,0.0,Outlier
IMPLANT RESTORATIONS MAINTENANCE,2009,0,9.968811855397408e-05,Topic 0
Epidemiology and molecular diversity of rabies viruses in Bulgaria,2014,10,0.0005530482743493737,Topic 10
The benefits of sports for the physical and mental health of adolescents,2023,21,0.0009791526949460947,Topic 21
COMPLICATIONS DURING A SUPRACLAVICULAR ANESTHESIA OF THE BRACHIAL PLEXUS WITH INTERSCALENE APPROACH,2012,80,0.0,Topic 80
Navigating the Landscape of Herniated Discs: A Rare Case of Herniated Disc Regression,2024,40,3.255261412820366e-07,Topic 40
FUNCTIONAL CHARACTERISTICS OF AN EXOPOLYSACCHARIDE FROM ANTARCTIC YEAST STRAIN CRYPTOCOCCUS LAURENTII AL62,2013,58,0.0,Topic 58
Colon cancer metastasis to the thyroid gland: report of a case with unique molecular profile,2016,-1,0.0,Outlier
Supported employment: cost-effectiveness across six European sites,2013,25,0.0,Topic 25
Quality control and safety assessment of BCG vaccines in the post-genomic era,2014,32,0.0,Topic 32
Complicated Pneumonia in a Child: Hydropneumothorax Associated with MIS-C and GAS Superinfection,2024,2,0.0060617561269855815,Topic 2
Determination of penicillamine in an unsegmented continuous flow analyzer,2025,-1,0.0,Outlier
Rapid disposable lipase activity sensor for automatic industrial application,2021,-1,0.0,Outlier
The great tit HapMap project: A continental-scale analysis of genomic variation in a songbird,2024,7,0.0012071848871174544,Topic 7
EPIDEMIOLOGICAL STUDY OF MALOCCLUSIONS OF 5 AND 6 YEARS OLD CHILDREN FROM NORTHEASTERN REGION OF BULGARIA,2016,0,0.00025945289569445797,Topic 0
Inflammation and nitro-oxidative stress in current suicidal attempts and current suicidal ideation: a systematic review and meta-analysis,2022,44,0.0,Topic 44
Characterization of Electrochemically Deposited Ce1-xZrxO2 Layers Modified with Cobalt Oxide for Electrocatalytic Conversion of NOx and CO,2014,67,0.0,Topic 67
OPTIMIZATION OF A WHEY BIOPROCESS USING NEURO-DYNAMIC PROGRAMMING STRATEGY,2012,-1,0.0,Outlier
Simultaneous immobilization of uricase and peroxidase to copolymer of acrylonitrile with acrylamide,2002,-1,0.0,Outlier
Accuracy of Dynamic Navigation System Workflow for Implant Supported Full Arch Prosthesis: A Case Series,2020,0,5.158177751175161e-09,Topic 0
"Interaction between transcription factors PAX6/PAX6-5a and specific members of miR-183-96-182 cluster, may contribute to glioma progression in glioblastoma cell lines",2017,-1,0.0,Outlier
Efficiency of cyclodextrin-ibuprofen inclusion complex formation,2016,-1,0.0,Outlier
Simultaneous quantification of the major flavonoids from wild spinach by UHPLC-HRMS and their neuroprotective effects in a model of H2O2-induced oxidative stress on SH-SY5Y cells,2021,1,0.0012098250692296206,Topic 1
Randomized controlled trial of multidisciplinary rehabilitation therapy using mobile applications in cases of ankle fractures,2022,-1,0.0,Outlier
Multiple-Locus Variable-Number Tandem-Repeat Analysis Genotyping of Human Brucella Isolates from Turkey,2011,10,0.0012245676850678013,Topic 10
BIOCOMPATIBILITY OF MEDICAL DEVICES - LEGAL REGULATIONS IN THE EUROPEAN UNION,2015,-1,0.0,Outlier
METHACRYLATE AND ACRYLATE ALLERGY IN DENTAL STUDENTS,2013,81,0.0,Topic 81
Concomitant contact allergy to formaldehyde and methacrylic monomers in students of dental medicine and dental patients,2014,81,0.0,Topic 81
35-bp deletion in ABCG2 gene: mini-review and report on two herds of Bulgarian dairy synthetic population sheep breed,2022,-1,0.0,Outlier
Is the Newly Described Interstitial Network the Anatomical Basis of Acupuncture Meridians? A Commentary,2020,-1,0.0,Outlier
"A New Approach for Determination of the Botanical Origin of Monofloral Bee Honey, Combining Mineral Content, Physicochemical Parameters, and Self-Organizing Maps",2021,-1,0.0,Outlier
"Thresholds of Toxicological Concern for cosmetics-related substances: New database, thresholds, and enrichment of chemical space",2017,-1,0.0,Outlier
Virucidal activity of a new hand disinfectant with reduced ethanol content:: comparison with other alcohol-based formulations,2006,31,0.001580309630467881,Topic 31
Asymmetric Monomethine Cyanine Dyes with Hydrophobic Functionalities for Fluorescent Intercalator Displacement Assay,2024,-1,0.0,Outlier
"A Highly Water-Soluble and Solid State Emissive 1,8-Naphthalimide as a Fluorescent PET Probe for Determination of pHs, Acid/Base Vapors, and Water Content in Organic Solvents",2022,-1,0.0,Outlier
Simultaneous in vivo recording of prompt and delayed fluorescence and 820-nm reflection changes during drying and after rehydration of the resurrection plant Haberlea rhodopensis,2010,77,0.0,Topic 77
Ionic Liquid Modified Polymer Gel for Arsenic Speciation,2024,-1,0.0,Outlier
Spectrophotometric Determination of Molybdenum(VI) as a Ternary Complex with 4-Nitrocatechol and Benzalkonium Chloride,2022,-1,0.0,Outlier
New lycosinine derivative from Hippeastrum breviflorum,2015,1,0.003423036498376214,Topic 1
"Ultrasound-Assisted Metal-Mediated Method for the Formation of Tetrahydro-3,3′-Disubstituted Biscoumarins",2018,-1,0.0,Outlier
Combinatorial K-Means Clustering as a Machine Learning Tool Applied to Diabetes Mellitus Type 2,2021,-1,0.0,Outlier
"A new feather mite species of the subfamily Analginae (Acari, Astigmata, Analgidae) from the Savi's warbler Locustella luscinoides (Aves, Passeriformes) in South Dobrudzha, Bulgaria",2010,7,8.931121022657386e-73,Topic 7
Diterpenoid Constituents of Teucrium scordium L. Subsp. scordioides (Shreb.) Maire Et Petitmengin,2020,-1,0.0,Outlier
Do N-terminal nucleophile hydrolases indeed have a single amino acid catalytic center?,2009,-1,0.0,Outlier
New records of smut fungi. 2. Anthracoidea arnellii sp nov.,2010,-1,0.0,Outlier
Entyloma eranthidis sp. nov. on Eranthis longistipitata from Uzbekistan,2021,-1,0.0,Outlier
Additions to the smut fungi of Pakistan. 1.,2012,-1,0.0,Outlier
"A new genus of the family Hymenolepididae (Cestoda) from Sephanoides sephaniodes (Apodiformes, Trochilidae) in Northern Patagonia (Chile)",2013,7,0.0,Topic 7
"Spread of Measles Virus D4-Hamburg, Europe, 2008-2011",2011,-1,0.0,Outlier
"Innovative Fibrous Materials Loaded with 5-Nitro-8-hydroxyquinoline via Electrospinning/Electrospraying Demonstrate Antioxidant, Antimicrobial and Anticancer Activities",2023,-1,0.0,Outlier
BIODEGRADATION AND DENTIN BONDING EFFECTIVENESS OF ONE UNIVERSAL SELF-ETCH ADHESIVE USED IN MULTI-MODE MANNER,2017,0,0.0,Topic 0
INFLUENCE OF TWO BASIC TECHNOLOGICAL PARAMETERS ON THE BEHAVIOR OF A NEW BIOPROCESS SYSTEM WITH ANAEROBIC BIOFILM FOR BIOGAS PRODUCTION,2011,55,0.0,Topic 55
A novel simple technique for en face endothelial observations using water-soluble media -: 'thinned-wall' preparations,2008,-1,0.0,Outlier
"A New and Efficient Method for the Synthesis of 3,4-Disubstituted Pyrrolidine-2,5-diones",2012,-1,0.0,Outlier
Safety assessment of a novel thermostable phytase,2021,38,0.0,Topic 38
Polymeric Nanoparticle Engineering: From Temperature-Responsive Polymer Mesoglobules to Gene Delivery Systems,2014,9,6.165013604515069e-07,Topic 9
Comparative metabolomics and glycolysis enzyme profiling of embryogenic and nonembryogenic grape cells,2018,-1,0.0,Outlier
"Orenia metallireducens sp nov Strain Z6, a Novel Metal- Reducing Member of the Phylum Firmicutes from the Deep Subsurface",2016,-1,0.0,Outlier
"A Novel Fluorescent Probe for Determination of pH and Viscosity Based on a Highly Water-Soluble 1,8-Naphthalimide Rotor",2022,-1,0.0,Outlier
Fusing time series expression data through hybrid aggregation and hierarchical merge,2008,-1,0.0,Outlier
"Anoxybacillus bogrovensis sp nov., a novel. thermophilic bacterium isolated from a hot spring in Dolni Bogrov, Bulgaria",2008,58,0.0,Topic 58
"Sensing and Microbiological Activity of a New Blue Fluorescence Polyamidoamine Dendrimer Modified with 1,8-Naphthalimide Units",2024,-1,0.0,Outlier
Gram-positive bacteria covered bioanode in a membrane-electrode assembly for use in bioelectrochemical systems,2022,55,0.0,Topic 55
Forty-eight-hour diagnosis of onychomycosis with subtyping of Trichophyton rubrum strains,2006,29,0.0028395860218037388,Topic 29
"Efficacy against nematode and cestode infections and safety of a novel topical fipronil, (S)-methoprene, eprinomectin and praziquantel combination product in domestic cats under field conditions in Europe",2014,10,0.0,Topic 10
Classification of hydatid liver cysts,2005,-1,0.0,Outlier
Phytophthora polonica and Phytophthora hydropathica from Clade 9 Associated with Alder Decline in Bulgaria,2024,-1,0.0,Outlier
Understanding the concept of Nattokinase use: a few years after beginning,2023,-1,0.0,Outlier
The mammalian INO80 chromatin remodeling complex is required for replication stress recovery,2014,28,0.0,Topic 28
De Novo Structural Determination of the Oligosaccharide Structure of Hemocyanins from Molluscs,2020,-1,0.0,Outlier
Biological peculiarities of some Yersinia species:: strain-dependent virulence and strain-dependent stress proteins,2007,3,0.0034258598919482052,Topic 3
Cytotoxic acylphloroglucinols from the aerial parts of Hypericum hirsutum L. (Hypericaceae),2025,1,0.0008456276230129027,Topic 1
Pilot study of patient and phantom breast dose measurements in Bulgaria,2008,-1,0.0,Outlier
IL-10 SINGLE NUCLEOTIDE POLYMORPHISMS AND LUPUS-NEPHRITIS,2012,-1,0.0,Outlier
Tailored Melatonin- and Donepezil-Based Hybrids Targeting Pathognomonic Changes in Alzheimer's Disease: An In Vitro and In Vivo Investigation,2024,82,0.0,Topic 82
"Lactobacillus nantensis sp nov., isolated from French wheat sourdough",2006,18,1.3671437483415005e-06,Topic 18
Surface Chemistry Study of the Interactions of Sesame Oil with Meibomian Films,2022,27,0.004238667937081121,Topic 27
Human papillomavirus prevalence in lung carcinomas in Bulgaria,2017,22,0.0013047261766136657,Topic 22
"Carfilzomib, lenalidomide, and dexamethasone in patients with relapsed multiple myeloma categorised by age: secondary analysis from the phase 3 ASPIRE study",2017,24,2.4584943625995877e-07,Topic 24
BETA HEMOLYTIC STREPTOCOCCI PHARYNGEAL CARRIAGE IN PRESCHOOL CHILDREN IN PLEVEN (BULGARIA),2012,3,0.0010418999176989184,Topic 3
The discrimination of abrupt changes in speed and direction of visual motion,2000,-1,0.0,Outlier
"A Randomized, Controlled Trial of the Pan-PPAR Agonist Lanifibranor in NASH",2021,-1,0.0,Outlier
Splenic Rupture in an Elective Cesarean Section: A Possible Iatrogenic Event,2023,5,4.455767717435539e-06,Topic 5
"Phacoemulsification in Nanophthalmic Eye, a Way to Manage Glaucoma: Case Report",2024,27,0.0,Topic 27
Correlation of trisomy 13 with atelencephalic aprosencephaly,2015,34,0.0,Topic 34
Anthracoidea kenaica- a new record from Russia,2022,-1,0.0,Outlier
Protective Effect of the Novel Melatonin Analogue Containing Donepezil Fragment on Memory Impairment via MT/ERK/CREB Signaling in the Hippocampus in a Rat Model of Pinealectomy and Subsequent Aβ1-42 Infusion,2024,-1,0.0,Outlier
Alternative Assisted Extraction Methods of Phenolic Compounds Using NaDESs,2024,1,0.0,Topic 1
"FLORISTIC CHARACTERISTICS AND ECOLOGICAL EVALUATION OF DEBELATA KORIA PRESERVE, CHERNOZEMEN VILLAGE",2010,-1,0.0,Outlier
A FIVE-YEAR RETROSPECTIVE PERIOD STUDY OF PERIOD PREVALENCE WITH VIEW TO WORKING ENVIRONMENT AND WORK PROCESS IN TWO DIAGNOSTIC AND CONSULTING CENTERS IN VARNA,2020,-1,0.0,Outlier
Epidemiology of hip fractures in Bulgaria: development of a country-specific FRAX model,2020,19,0.002996981442997661,Topic 19
"Economic burden of vulvar, vaginal, anal, penile and head & neck cancers in Bulgaria",2024,13,0.005047359247566495,Topic 13
Development of a chiral RP-HPLC method for identification of stereomers of newly synthesised xanthine-based hydrazide- hydrazone compound,2019,-1,0.0,Outlier
New Evidences about the Carcinogenic Effects of Ochratoxin A and Possible Prevention by Target Feed Additives,2022,-1,0.0,Outlier
MYCOTOXINS IN FRUITS AND VEGETABLES,2020,-1,0.0,Outlier
Wheat genetic resources evaluation by electrophoretic separation of gliadins,2002,29,0.0,Topic 29
Magnetic-nanoparticles-based fluorescent immunoassay for individual and simultaneous determination of dichlorvos and paraoxon in milk,2018,-1,0.0,Outlier
"Synthesis and Contractile Activity of Substituted 1,2,3,4-Tetrahydroisoquinolines",2011,51,2.9459903913876545e-08,Topic 51
"Synthesis, Characterization and Assessment of Antioxidant and Melanogenic Inhibitory Properties of Edaravone Derivatives",2024,51,9.60613324698179e-06,Topic 51
MULTINUCLEATED GIANT CELLS FORMATION INDUCED BY MULV/FV HYBRID VIRUSES,2009,31,0.0,Topic 31
"Antimycobacterial Activity, In Silico ADME Evaluation, and Docking Study of Novel Thiazolidinedione and Imidazolidinone Conjugates",2021,51,7.36575521055969e-27,Topic 51
"Synthetic Analogues of Aminoadamantane as Influenza Viral Inhibitors-In Vitro, In Silico and QSAR Studies",2020,31,8.84960527410198e-81,Topic 31
"Synthesis of Novel 1-Oxo-2,3,4-trisubstituted Tetrahydroisoquinoline Derivatives, Bearing Other Heterocyclic Moieties and Comparative Preliminary Study of Anti-Coronavirus Activity of Selected Compounds",2023,51,8.302630356175708e-09,Topic 51
